URL;Title;Meta-Description
"https://www.heise.de/ratgeber/Toniebox-Hack-Eigene-Inhalte-mit-mehr-Datenschutz-abspielen-10244742.html";"Toniebox-Hack: Eigene Inhalte mit mehr Datenschutz abspielen | heise online";"Mit passenden NFC-Tags und etwas Bastelei lassen sich auch eigene Inhalte ohne Cloudverbindung auf der Toniebox abspielen. Das dient auch dem Datenschutz."
"https://www.heise.de/tests/Programmieren-lernen-Wir-haben-drei-Monate-Harvards-Programmierkurs-CS50-belegt-10228665.html";"Programmieren lernen: Wir haben drei Monate Harvards Programmierkurs CS50 belegt | heise online";"Der Onlinekurs CS50 lehrt C, Python, SQL und Javascript. Ein Professor der Harvard University doziert. Wir verraten, ob sich der Zeitaufwand lohnt."
"https://www.heise.de/hintergrund/Studie-Solarversorgung-der-Waermepumpe-Wie-sinnvoll-eine-Batterie-wirklich-ist-10234591.html";"Studie Solarversorgung der Wärmepumpe: Wie sinnvoll eine Batterie wirklich ist | heise online";"Das Fraunhofer-Institut hat 2023 an einem Bestandshaus untersucht, wie lokaler Solarstrom, Wärmepumpenheizung und Stromspeicher zusammenarbeiten."
"https://www.heise.de/ratgeber/Staerken-und-Schwaechen-von-16-Mailclients-im-Ueberblick-10241634.html";"Mailclients für Desktop und Smartphone: 16 Dienste im Test | heise online";"Neue Funktionen und KI haben innovative Konzepte befördert, die ältere Mail-Clients blass aussehen lassen. Wir erkunden neue Möglichkeiten eines alten Mediums."
"https://www.heise.de/ratgeber/Alte-Amazon-Tablets-als-Smart-Home-Dashboard-einsetzen-10215288.html";"Alte Amazon-Tablets als Smart-Home-Dashboard einsetzen | heise online";"In die Jahre gekommene Fire-Tablets müssen nicht in den Schrott fliegen. Sie können etwa im schlauen Zuhause als Infodisplay dienen. Wir zeigen, wie das geht. "
"https://www.heise.de/tests/CarPlay-Displays-fuers-Auto-im-Test-iPhone-Integration-zum-Nachruesten-10228722.html";"CarPlay-Displays fürs Auto im Test: iPhone-Integration zum Nachrüsten | heise online";"Navigation, Musikplayer, Mitteilungen und Siri-Verknüpfung kommen über CarPlay ins Auto. Doch was, wenn die Technik nicht eingebaut ist? Diese Displays helfen."
"https://www.heise.de/ratgeber/So-geht-s-Alten-iMac-zum-externen-5K-Monitor-umbauen-10250423.html";"So geht's: Alten iMac zum externen 5K-Monitor umbauen | heise online";"Mit etwas Werkzeug und einer Adapterplatine lässt sich ein alter iMac in einen externen Bildschirm verwandeln, der mit einem teuren 5K-Display mithalten kann."
"https://www.heise.de/hintergrund/Softwareentwicklung-No-Code-in-der-Prozessautomatisierung-eine-Marktuebersicht-10198159.html";"Softwareentwicklung: No Code in der Prozessautomatisierung – eine Marktübersicht | heise online";"Businessautomatisierung ist das Gebot der Stunde, aber häufig fehlt es an Geld, Zeit und der nötigen Entwicklungskapazität. No Code ist ein attraktiver Ausweg."
"https://www.heise.de/ratgeber/Taupunktlueftungsanlage-mit-Raspi-fuer-Keller-und-Wohnung-bauen-10236263.html";"Taupunktlüftungsanlage mit Raspi für Keller und Wohnung bauen | heise online";"Eine automatische Taupunktlüftungsanlage – gebaut mit Raspberry Pis – hilft Ihnen, besonders im Winter Raumklima und Luftfeuchtigkeit im Griff zu halten."
"https://www.heise.de/ratgeber/macOS-15-auf-alten-Macs-installieren-10240895.html";"macOS 15 auf alten Macs installieren | heise online";"Ältere Apple-Rechner müssen nicht auf Sequoia verzichten: Der OpenCore Legacy Patcher erlaubt das Upgrade auf einigen nicht unterstützten Maschinen."
"https://www.heise.de/ratgeber/Eigenheim-vs-ETF-Was-sich-fuer-den-langfristigen-Vermoegensaufbau-lohnt-10170068.html";"Eigenheim vs. ETF: Was sich für den langfristigen Vermögensaufbau lohnt | heise online";"Wohneigentum kaufen oder zur Miete wohnen und nebenbei Geld anlegen? Welches Modell ist aktuell sinnvoller? Eine Annäherung in mehreren Szenarien."
"https://www.heise.de/ratgeber/Elektroautos-von-30-000-bis-45-000-Euro-Fuer-Familie-Langstrecke-und-Komfort-10188015.html";"Elektroautos von 30.000 bis 45.000 Euro: Für Familie, Langstrecke und Komfort | heise autos";"Für 30.000 und 45.000 Euro gibt es zahlreiche Elektroautos, die sich für mehr als die Pendelei zur Arbeit eignen. Ein Blick auf die interessantesten Modelle."
